KOI,T0 [BJD-2454900],Period [day],Avg. duration [hr],Depth [ppm],SNR,Scatter ratio
70.030,97.726,77.612,7.620,839.000,36.800,0.930
75.010,89.984,105.881,17.661,1623.000,132.200,1.330
87.010,66.700,289.864,7.356,492.000,30.200,0.920
108.020,228.335,179.608,13.267,1291.000,90.300,0.950
119.020,245.677,190.321,14.755,1153.000,59.300,1.330
139.010,75.096,224.779,10.828,3568.000,115.500,1.280
157.050,101.915,118.378,9.725,1169.000,34.000,1.110
260.020,77.762,100.283,10.972,356.000,38.400,1.250
268.010,108.932,110.379,12.396,482.000,56.000,1.130
289.020,336.673,296.637,16.142,2833.000,156.100,1.010
303.010,106.371,60.928,6.461,746.000,38.400,1.040
351.020,80.099,210.594,11.770,4198.000,94.900,1.430
353.010,109.522,152.106,6.918,3759.000,116.500,1.330
365.010,62.938,81.738,6.900,622.000,49.500,1.120
366.010,65.601,75.112,4.777,3759.000,164.100,0.980
368.010,130.363,110.322,12.677,7349.000,863.400,1.260
372.010,60.730,125.628,8.899,7944.000,353.700,2.370
373.010,123.932,135.188,9.036,676.000,33.200,1.090
374.010,169.937,172.701,11.280,654.000,42.900,1.070
415.010,178.142,166.788,5.675,4897.000,89.300,0.890
564.020,179.467,127.909,13.960,4209.000,77.200,1.250
620.020,145.034,130.178,7.990,12239.000,158.900,1.410
622.010,146.499,155.042,9.330,5195.000,48.400,0.960
683.010,110.518,278.124,3.626,2267.000,54.100,0.830
772.010,106.833,61.256,7.136,5492.000,39.000,0.940
806.010,87.224,143.208,8.642,11677.000,79.900,1.080
806.020,116.568,60.325,6.456,22408.000,142.700,2.010
847.010,136.891,80.872,10.789,3806.000,48.500,0.920
868.010,141.404,235.997,7.510,21968.000,225.100,1.600
902.010,85.828,83.928,6.416,8903.000,57.700,1.040
998.010,147.036,161.788,4.999,97317.000,356.700,4.430
1067.010,206.186,185.023,4.269,43776.000,566.600,2.130
1089.010,108.592,86.679,9.938,8873.000,100.300,0.960
1162.010,106.956,158.685,11.714,935.000,52.400,1.000
1193.010,82.222,119.062,2.942,5851.000,36.600,0.960
1209.010,311.177,272.145,3.695,5931.000,38.600,1.300
1226.010,106.168,137.760,8.227,94199.000,913.500,2.660
1230.010,147.037,165.740,23.766,7513.000,262.800,1.620
1242.010,116.590,99.644,4.820,3331.000,68.800,0.980
1257.010,106.794,86.648,4.342,8226.000,77.000,1.030
1261.010,149.042,133.461,11.279,5358.000,69.100,1.220
1268.010,293.074,268.941,5.080,9284.000,93.100,1.170
1271.010,211.853,162.052,9.546,5100.000,145.600,1.000
1288.010,152.705,117.931,5.735,8939.000,83.200,0.890
1335.010,98.590,127.834,10.788,2033.000,44.900,1.160
1353.010,169.662,125.865,8.660,12654.000,258.900,2.110
1359.020,307.831,104.820,4.262,4219.000,32.700,0.950
1426.020,132.927,74.928,4.720,4224.000,64.000,1.260
1426.030,157.682,150.022,4.074,4485.000,51.400,1.250
1466.010,291.004,281.563,8.493,22961.000,190.300,1.190
1472.010,94.009,85.351,6.600,4823.000,53.400,1.220
1474.010,59.354,69.728,3.836,4628.000,119.500,1.770
1477.010,161.963,169.509,7.114,14134.000,86.600,1.060
1478.010,132.478,76.136,8.000,2991.000,119.200,1.070
1483.010,221.872,185.953,3.248,11348.000,82.200,0.970
1486.010,96.890,127.282,6.725,8741.000,54.300,1.050
1552.010,350.150,77.634,4.045,19883.000,79.600,1.960
1574.010,98.149,114.737,11.538,5027.000,90.100,0.990
1582.010,79.923,186.435,5.189,4544.000,36.800,2.060
1684.010,84.478,62.816,2.579,1672.000,39.700,1.230
1773.010,179.035,83.097,8.352,17412.000,123.700,1.170
1783.010,102.282,134.479,5.498,4160.000,93.000,1.000
1783.020,133.822,284.073,7.411,1705.000,35.000,0.730
1787.010,64.587,98.718,6.232,7833.000,67.500,1.150
1788.010,196.217,71.525,5.636,6345.000,85.600,1.470
1790.010,77.064,130.355,6.048,5497.000,42.400,0.890
1792.010,109.277,88.407,12.205,1770.000,109.500,1.390
1808.010,61.630,89.194,4.356,873.000,32.900,1.220
1822.010,139.695,150.878,8.726,653.000,34.400,1.010
1888.010,67.180,120.019,11.294,971.000,35.600,1.600
2076.020,253.732,219.321,12.089,3873.000,43.800,0.830
2672.010,115.677,88.511,6.931,2666.000,151.600,2.570
2674.010,205.386,197.511,10.385,2629.000,75.400,1.040
2677.010,129.973,237.786,9.496,1708.000,54.000,0.860
2679.010,77.799,110.756,6.068,7863.000,178.300,2.020
2681.010,166.696,135.497,6.301,5895.000,32.900,1.020
2683.010,99.511,126.445,16.528,3570.000,42.400,1.100
2686.010,212.140,211.029,6.866,2029.000,40.900,1.500
2696.010,147.753,96.456,10.897,957.000,36.700,1.610
3220.010,93.862,81.416,12.299,725.000,45.600,2.120
3263.010,79.883,76.879,2.167,22713.000,55.200,0.890
3309.010,67.735,71.055,2.197,5133.000,30.400,1.030
3320.010,337.410,85.062,4.284,47341.000,213.100,1.980
3449.010,105.068,62.128,4.822,39580.000,413.300,1.970
3487.010,138.266,89.740,3.067,80348.000,1143.800,33.580
3583.010,218.129,210.306,6.115,46865.000,2015.800,2.450
3602.010,212.656,249.362,7.566,36698.000,798.800,2.080
3605.010,188.356,178.268,5.426,48301.000,733.700,1.730
3608.010,218.704,244.833,3.923,34530.000,601.600,1.890
3641.010,151.224,178.413,2.699,35630.000,383.300,4.590
3660.010,105.471,174.770,2.246,68133.000,206.200,3.400
3663.010,296.070,282.525,10.540,9932.000,435.900,1.060
3674.010,112.047,175.066,4.104,50735.000,219.500,4.910
3678.010,210.509,160.885,10.622,7829.000,320.600,1.320
3680.010,189.203,141.242,6.578,13825.000,192.600,0.990
3681.010,171.808,217.832,20.693,9233.000,752.600,1.420
3683.010,55.021,214.312,15.987,4604.000,379.300,1.010
3685.010,206.694,208.869,4.278,21860.000,281.600,1.540
3696.010,184.878,181.852,5.227,30009.000,171.200,1.400
3709.010,167.744,205.583,5.530,26220.000,161.100,1.540
3717.010,165.240,227.663,5.066,14236.000,122.400,4.500
3720.010,207.209,213.399,5.915,14103.000,374.300,1.200
3726.010,304.560,115.994,2.452,43057.000,162.600,1.530
3762.010,267.145,240.798,16.147,5465.000,91.300,1.110
3782.010,102.646,186.517,2.942,5777.000,77.700,0.780
3783.010,233.178,197.145,1.696,4495.000,33.100,1.770
3787.010,100.346,141.734,1.565,6513.000,57.900,3.180
3791.020,178.993,220.130,20.869,1808.000,65.200,1.140
3801.010,307.795,288.313,5.200,12802.000,60.200,1.000
3811.010,240.249,290.141,1.962,4847.000,46.900,0.810
3823.010,225.048,202.118,4.482,2824.000,41.500,1.220
